CName,PIp,CIp,AngleCAntennaToPRadio (°),AnglePAntennaToCRadio (°),HDist (ft),VDist (ft),SpecialValueName,SpecialValue,PLocation,CLocation
radio2,192.168.1.254,192.168.1.11,60,15,100,150,dirt,0.5,None, None
Date (Mon/Day/Year),Time (Hour:Min:Sec),Channel,PTxPower,PRxGain,Bandwidth,PTemp (°C),PUpTime (Day-Hour:Min:Sec),PFreeMemory (%),DS0,DS1,DRSSI,DNoiseFloor,DSNR,DTxModulation,DRxModulation,CTemp (°C),CUpTime,ULinkUpTime,CTxPower,US0,US1,USRSSI,USNoiseFloor,USNR,UTxModulation,UTxPackets (Pkts.),URxModulation,URxPackets (Pkts.),PingTimeAVG
2025-03-05,16:52:51,17,5.0,2.0,6.0,33.00,24-22:31:36,70,-68.0,-64.0,-63.0,-102.0,39.0,MCS 7 shortGI,MCS 15,29.00,1-00:13:12,0-07:56:40,7.0,-59.0,-60.0,-56.0,-101.0,45.0,MCS 15,260374,MCS 7 short GI,139384,0
2025-03-05,16:53:01,17,5.0,2.0,6.0,33.00,24-22:31:48,70,-68.0,-62.0,-61.0,-102.0,41.0,MCS 7 shortGI,MCS 15,29.00,1-00:13:21,0-07:56:52,7.0,-60.0,-57.0,-55.0,-98.0,43.0,MCS 15,260522,MCS 7 short GI,139482,0
2025-03-05,16:53:11,17,5.0,2.0,6.0,33.00,24-22:31:57,69,-67.0,-60.0,-59.0,-101.0,42.0,MCS 7 shortGI,MCS 15,29.00,1-00:13:30,0-07:57:00,7.0,-60.0,-56.0,-54.0,-98.0,44.0,MCS 15,260606,MCS 7 short GI,139539,0
2025-03-05,16:53:22,17,5.0,2.0,6.0,33.00,24-22:32:08,70,-68.0,-62.0,-61.0,-101.0,40.0,MCS 7 shortGI,MCS 15,29.00,1-00:13:42,0-07:57:12,7.0,-59.0,-61.0,-57.0,-100.0,43.0,MCS 15,260732,MCS 7 short GI,139636,0
2025-03-05,16:53:32,17,5.0,2.0,6.0,33.00,24-22:32:20,70,-68.0,-63.0,-62.0,-101.0,39.0,MCS 7 shortGI,MCS 15,29.00,1-00:13:51,0-07:57:24,7.0,-60.0,-62.0,-58.0,-101.0,43.0,MCS 15,260841,MCS 7 short GI,139718,0
2025-03-05,16:53:42,17,5.0,2.0,6.0,33.00,24-22:32:28,69,-67.0,-61.0,-60.0,-100.0,40.0,MCS 7 shortGI,MCS 15,29.00,1-00:14:03,0-07:57:31,7.0,-60.0,-61.0,-57.0,-101.0,44.0,MCS 15 short GI,260910,MCS 7 short GI,139764,0
2025-03-05,16:53:53,17,5.0,2.0,6.0,33.00,24-22:32:39,70,-67.0,-64.0,-62.0,-102.0,40.0,MCS 7 shortGI,MCS 15,29.00,1-00:14:12,0-07:57:43,7.0,-60.0,-58.0,-56.0,-97.0,41.0,MCS 15,261006,MCS 7 short GI,139828,0
2025-03-05,16:54:03,17,5.0,2.0,6.0,33.00,24-22:32:50,70,-68.0,-61.0,-60.0,-101.0,41.0,MCS 7 shortGI,MCS 15,29.00,1-00:14:24,0-07:57:54,7.0,-60.0,-59.0,-57.0,-100.0,43.0,MCS 15,261114,MCS 7 short GI,139910,0
2025-03-05,16:54:13,17,5.0,2.0,6.0,33.00,24-22:32:58,69,-68.0,-61.0,-60.0,-101.0,41.0,MCS 7 shortGI,MCS 15,29.00,1-00:14:33,0-07:58:02,7.0,-60.0,-57.0,-55.0,-98.0,43.0,MCS 15 short GI,261186,MCS 7 short GI,139958,0
2025-03-05,16:54:24,17,5.0,2.0,6.0,33.00,24-22:33:10,69,-67.0,-61.0,-60.0,-101.0,41.0,MCS 7 shortGI,MCS 15,29.00,1-00:14:45,0-07:58:13,7.0,-60.0,-59.0,-57.0,-100.0,43.0,MCS 15,261300,MCS 7 short GI,140040,0
